epoch,train_total_loss,train_ce_loss,train_contrastive_loss,validation_auc,validation_f1,ensemble_weight_1,ensemble_weight_2
1,0.7524033188819885,0.6532140319997614,3.3063100468028677,0.9747162022703818,0.6923076923076923,0.4973583519458771,0.5026416182518005
2,0.6342290477319197,0.5418532192707062,3.079194502397017,0.9860681114551083,0.9206349206349206,0.49435076117515564,0.5056492686271667
3,0.46315052292563696,0.3693247681314295,3.1275252428921787,0.9886480908152735,0.9538461538461539,0.49112117290496826,0.5088788270950317
4,0.31187951971184125,0.2190426059744575,3.094563852656971,0.9922600619195048,0.9696969696969697,0.4882642924785614,0.5117356777191162
5,0.21069103479385376,0.1206446113911542,3.001547423276034,0.9922600619195048,0.9696969696969697,0.48625344038009644,0.5137465596199036
6,0.18367513811046426,0.09388411045074463,2.9930344278162178,0.9953560371517027,0.9705882352941176,0.48513877391815186,0.5148612260818481
7,0.1576576612212441,0.06968886083499952,2.9322933933951636,0.9974200206398348,0.9705882352941176,0.4845721125602722,0.5154279470443726
8,0.14824399961666626,0.06069273662499406,2.918375470421531,0.9948400412796697,0.9705882352941176,0.4841330647468567,0.5158669948577881
9,0.1403694118965756,0.05370818755843423,2.8887075727636162,0.9938080495356038,0.9705882352941176,0.48389962315559387,0.5161003470420837
10,0.1270513893528418,0.04177128548987887,2.842670115557584,0.9943240454076367,0.9705882352941176,0.4837094843387604,0.5162904858589172
11,0.14158514616164294,0.054496896072206175,2.9029417471452192,0.9948400412796697,0.9705882352941176,0.4836221933364868,0.5163778066635132
12,0.1389777741648934,0.05210551361299374,2.895742026242343,0.9963880288957688,0.9565217391304348,0.4835057854652405,0.5164941549301147
13,0.13656305250796405,0.04922300881960175,2.911334839734164,0.9958720330237358,0.9565217391304348,0.48355036973953247,0.5164495706558228
14,0.138085198673335,0.05128352792764252,2.893389116634022,0.9943240454076367,0.9705882352941176,0.4835539758205414,0.5164459347724915
15,0.11625744131478397,0.030875216915526173,2.846074169332331,0.9943240454076367,0.9705882352941176,0.48375755548477173,0.5162424445152283
16,0.13312521915544162,0.046605570876801554,2.8839884237809614,0.9943240454076367,0.9705882352941176,0.4839969277381897,0.5160030722618103
17,0.11738209223205393,0.03214133530855179,2.841358705000444,0.9938080495356038,0.9705882352941176,0.4840635657310486,0.5159364938735962
18,0.11319984902035106,0.028320321030068128,2.829317656430331,0.9948400412796697,0.9705882352941176,0.48429521918296814,0.5157048106193542
19,0.12045915628021414,0.03482302904806354,2.854537595402111,0.9932920536635707,0.9705882352941176,0.4843810498714447,0.5156189203262329
20,0.10484754632819783,0.020338857228952376,2.816956411708485,0.9927760577915377,0.9565217391304348,0.48453289270401,0.51546710729599
21,0.11804502660577948,0.032899394832466816,2.8381877812472256,0.9922600619195048,0.9705882352941176,0.48458123207092285,0.5154188275337219
22,0.098221862857992,0.014254162786528468,2.7989234057339756,0.9922600619195048,0.9705882352941176,0.4847756028175354,0.5152243971824646
23,0.11132468486374075,0.02613544011149894,2.839641506021673,0.9912280701754386,0.9705882352941176,0.4849238693714142,0.5150761008262634
24,0.10461023314432664,0.02024311111943627,2.8122374794699927,0.9912280701754386,0.9705882352941176,0.48506271839141846,0.5149373412132263
