window_days,epoch,train_total_loss,train_mse_loss,train_contrastive_loss,validation_MAE,validation_RMSE,validation_SMAPE,validation_R2,ensemble_weight_1,ensemble_weight_2
3,1,145.04932067871093,144.98064758300782,3.433701333999634,10.342008590698242,12.474233086200819,148.89991760253906,-1.8006372451782227,0.49332353472709656,0.506676435470581
3,2,88.7077703857422,88.63914306640625,3.4313492298126222,5.46972131729126,6.646088056157194,57.10063552856445,0.20501065254211426,0.4902222454547882,0.5097776651382446
3,3,52.91012466430664,52.84145843505859,3.433331232070923,5.055727005004883,6.411692024473666,54.43049621582031,0.26009756326675415,0.4897809624671936,0.5102190375328064
3,4,44.16255317687988,44.09392631530762,3.43134259223938,4.773811340332031,6.0965159863343965,51.70464324951172,0.33105164766311646,0.49172812700271606,0.5082718729972839
3,5,37.98251533508301,37.91401611328125,3.4249424839019778,4.488265514373779,5.750587101693196,50.204078674316406,0.40481287240982056,0.4923986792564392,0.5076013803482056
3,6,32.64725524902344,32.57824966430664,3.4502753829956054,4.345651149749756,5.474723474495527,57.3751220703125,0.46054714918136597,0.49256637692451477,0.5074336528778076
3,7,29.97552173614502,29.905299835205078,3.5110942554473876,4.214378833770752,5.201211296731471,57.887393951416016,0.5131018161773682,0.4919380247592926,0.5080620050430298
3,8,27.991421356201172,27.91799873352051,3.671125020980835,4.046109676361084,4.959132837970634,55.47487258911133,0.5573702454566956,0.49116647243499756,0.5088335275650024
3,9,27.35905002593994,27.28585422515869,3.6597987937927248,4.024108409881592,4.9875548930959654,60.9588508605957,0.5522820353507996,0.4906039834022522,0.5093960762023926
3,10,25.96718677520752,25.893535804748534,3.6825574684143065,3.862293243408203,4.818308705905049,55.80380630493164,0.5821519494056702,0.4900643825531006,0.5099356174468994
3,11,24.62334297180176,24.547538223266603,3.7902399635314943,3.941511392593384,4.915896123646871,58.280052185058594,0.5650547742843628,0.49011802673339844,0.5098819732666016
3,12,24.213397445678712,24.13785514831543,3.7771159648895263,3.8201797008514404,4.767123027554341,52.9951286315918,0.5909825563430786,0.4893624782562256,0.5106375813484192
3,13,24.8215731048584,24.741410064697266,4.00815752029419,3.907548666000366,4.841074740041913,61.01840591430664,0.5781940221786499,0.48886018991470337,0.5111398100852966
3,14,23.519091567993165,23.440299644470215,3.9395845890045167,3.9275994300842285,4.856209953859779,59.15843963623047,0.5755524635314941,0.4881359338760376,0.5118640661239624
3,15,23.020600891113283,22.94114933013916,3.9725808048248292,4.0194315910339355,4.964304344714687,62.48672103881836,0.5564465522766113,0.4873594343662262,0.5126405358314514
3,16,21.757030258178713,21.67470657348633,4.11617446899414,3.870366334915161,4.755897875870853,54.93843078613281,0.5929064750671387,0.487471342086792,0.5125285983085632
3,17,21.192313690185546,21.1078116607666,4.225103273391723,3.954730272293091,4.868106369549062,55.45268630981445,0.5734703540802002,0.4866137206554413,0.5133863091468811
3,18,22.19714668273926,22.111243972778322,4.295134210586548,3.9998233318328857,4.860727005572837,60.09345626831055,0.5747624635696411,0.4865875840187073,0.513412356376648
3,19,21.775714721679687,21.688799018859864,4.345786781311035,4.095722198486328,5.0012495386895255,59.855247497558594,0.5498200058937073,0.485725075006485,0.5142749547958374
3,20,21.52180061340332,21.434902801513672,4.344894332885742,4.081255912780762,4.992672701137497,59.159427642822266,0.5513627529144287,0.4851633310317993,0.5148366689682007
3,21,20.370414237976075,20.287423248291017,4.149550876617432,4.076718330383301,4.962493796548881,58.476924896240234,0.5567700266838074,0.4848622977733612,0.5151376724243164
3,22,20.041765174865724,19.958375511169432,4.169485034942627,4.10443115234375,5.040766464868684,54.02345657348633,0.5426777601242065,0.48450767993927,0.5154922604560852
