variant,epoch,train_total_loss,train_mse_loss,train_contrastive_loss,validation_MAE,validation_RMSE,validation_SMAPE,validation_R2,ensemble_weight_1,ensemble_weight_2
Single_Head_No_Ensemble,1,146.0318716430664,145.96318359375,3.4343627452850343,10.275081634521484,12.433385120382857,145.74429321289062,-1.7830681800842285,1.0,0.0
Single_Head_No_Ensemble,2,83.08200378417969,83.01334152221679,3.4331725311279295,5.274250030517578,6.3201742829061756,55.265159606933594,0.2808769941329956,1.0,0.0
Single_Head_No_Ensemble,3,49.94169990539551,49.87303932189941,3.433021755218506,4.852295398712158,6.191743262712663,52.4174690246582,0.30980634689331055,1.0,0.0
Single_Head_No_Ensemble,4,42.42907745361328,42.360493392944335,3.4292059707641602,4.819089889526367,6.210588630139054,54.86785125732422,0.30559855699539185,1.0,0.0
Single_Head_No_Ensemble,5,41.19612266540528,41.1273641204834,3.437941427230835,4.543854236602783,5.851975470970619,52.11811828613281,0.3834758996963501,1.0,0.0
Single_Head_No_Ensemble,6,38.21686462402344,38.148204193115234,3.4330115509033203,4.337136745452881,5.550691736776045,49.642784118652344,0.4453241229057312,1.0,0.0
Single_Head_No_Ensemble,7,35.878341598510744,35.80888679504395,3.4727591609954835,4.15859842300415,5.353764124283205,53.9757194519043,0.48398357629776,1.0,0.0
Single_Head_No_Ensemble,8,31.566014022827147,31.495885925292967,3.506416263580322,3.974418878555298,5.0612793380930885,57.007694244384766,0.5388250350952148,1.0,0.0
Single_Head_No_Ensemble,9,27.875935516357423,27.804928169250488,3.5503737831115725,3.843890428543091,4.842946435046488,59.06150817871094,0.5777550935745239,1.0,0.0
Single_Head_No_Ensemble,10,25.392173461914062,25.321118545532226,3.5527517414093017,3.5300633907318115,4.386096288553846,56.63883590698242,0.6536610126495361,1.0,0.0
Single_Head_No_Ensemble,11,24.776512222290037,24.704443740844727,3.6034270668029786,3.490428924560547,4.391062867401097,57.06805419921875,0.6528761982917786,1.0,0.0
Single_Head_No_Ensemble,12,23.14123565673828,23.06748546600342,3.6875037956237793,3.753021478652954,4.661654210015462,65.31220245361328,0.6087762713432312,1.0,0.0
Single_Head_No_Ensemble,13,23.351395416259766,23.275642166137697,3.7876620578765867,3.721806287765503,4.612481987150423,68.18514251708984,0.6169861555099487,1.0,0.0
Single_Head_No_Ensemble,14,23.52156650543213,23.443138694763185,3.921394863128662,3.973452568054199,4.916543258583757,71.92662048339844,0.564824104309082,1.0,0.0
Single_Head_No_Ensemble,15,22.427586097717285,22.348523216247557,3.9531418323516845,3.495516061782837,4.3920400925215155,52.913307189941406,0.652721643447876,1.0,0.0
Single_Head_No_Ensemble,16,22.50735424041748,22.428084983825684,3.963456602096558,3.5097780227661133,4.299547952355514,61.3143310546875,0.6671943664550781,1.0,0.0
Single_Head_No_Ensemble,17,21.793408889770507,21.713740158081055,3.983433265686035,3.7127902507781982,4.535283680783987,67.18350219726562,0.6296997666358948,1.0,0.0
Single_Head_No_Ensemble,18,21.67807102203369,21.60131847381592,3.8376271533966064,3.5541622638702393,4.370027168241849,60.055763244628906,0.6561940908432007,1.0,0.0
Single_Head_No_Ensemble,19,21.52319046020508,21.44754955291748,3.7820417881011963,3.673185110092163,4.4520834256810184,66.00975799560547,0.6431615352630615,1.0,0.0
