variant,epoch,train_total_loss,train_mse_loss,train_contrastive_loss,validation_MAE,validation_RMSE,validation_SMAPE,validation_R2,ensemble_weight_1,ensemble_weight_2
LSTM_Only,1,144.94053253173828,144.94053253173828,0.0,10.20763874053955,12.411082059423432,142.0914764404297,-1.77309250831604,1.0,0.0
LSTM_Only,2,101.48080902099609,101.48080902099609,0.0,7.501068592071533,9.567526699135565,80.32910919189453,-0.6479514837265015,1.0,0.0
LSTM_Only,3,74.76773864746093,74.76773864746093,0.0,6.537822723388672,7.999224148321989,66.85543823242188,-0.1519690752029419,1.0,0.0
LSTM_Only,4,69.27823547363282,69.27823547363282,0.0,6.376691818237305,7.720588743065569,64.57772064208984,-0.07311415672302246,1.0,0.0
LSTM_Only,5,70.12620391845704,70.12620391845704,0.0,6.466782093048096,7.887776984476421,65.9127426147461,-0.12009358406066895,1.0,0.0
LSTM_Only,6,70.92976486206055,70.92976486206055,0.0,6.431690216064453,7.849569039147423,65.5881576538086,-0.10926854610443115,1.0,0.0
LSTM_Only,7,67.71313827514649,67.71313827514649,0.0,6.266595840454102,7.76354141989453,64.63606262207031,-0.08508765697479248,1.0,0.0
LSTM_Only,8,58.023687744140624,58.023687744140624,0.0,5.319831848144531,6.861054581972558,55.6173210144043,0.1525251865386963,1.0,0.0
LSTM_Only,9,38.00273246765137,38.00273246765137,0.0,4.183333396911621,5.362223499345546,61.1391487121582,0.4823516011238098,1.0,0.0
LSTM_Only,10,26.64812686920166,26.64812686920166,0.0,4.064083576202393,5.106135376632417,69.0361099243164,0.5306144952774048,1.0,0.0
LSTM_Only,11,24.06183506011963,24.06183506011963,0.0,4.074516773223877,5.065365769038353,75.33845520019531,0.538080096244812,1.0,0.0
LSTM_Only,12,23.808134117126464,23.808134117126464,0.0,4.049050807952881,5.010413959631978,76.02996063232422,0.5480480194091797,1.0,0.0
LSTM_Only,13,23.63440818786621,23.63440818786621,0.0,3.540432929992676,4.375210784194052,57.0655403137207,0.655377984046936,1.0,0.0
LSTM_Only,14,22.40727867126465,22.40727867126465,0.0,3.6384177207946777,4.50396532613847,61.955936431884766,0.6347962617874146,1.0,0.0
LSTM_Only,15,22.096393127441406,22.096393127441406,0.0,3.8130195140838623,4.7222751813923285,67.98576354980469,0.5985350608825684,1.0,0.0
LSTM_Only,16,21.987983360290528,21.987983360290528,0.0,3.862900733947754,4.725874215446252,70.96094512939453,0.5979228615760803,1.0,0.0
LSTM_Only,17,21.126859169006348,21.126859169006348,0.0,3.865765333175659,4.722633633113751,69.3174819946289,0.5984740853309631,1.0,0.0
LSTM_Only,18,21.586555786132813,21.586555786132813,0.0,4.008073329925537,4.913779925301587,73.42843627929688,0.5653132200241089,1.0,0.0
LSTM_Only,19,20.985039863586426,20.985039863586426,0.0,3.7672269344329834,4.563937862043451,64.98792266845703,0.625005841255188,1.0,0.0
LSTM_Only,20,20.67519115447998,20.67519115447998,0.0,3.750988721847534,4.598357504467394,64.12590026855469,0.6193283796310425,1.0,0.0
LSTM_Only,21,20.870329551696777,20.870329551696777,0.0,3.7556169033050537,4.606317262404298,63.627410888671875,0.6180093288421631,1.0,0.0
LSTM_Only,22,20.27482078552246,20.27482078552246,0.0,3.813331127166748,4.68638394103055,67.27678680419922,0.6046144366264343,1.0,0.0
LSTM_Only,23,20.00283290863037,20.00283290863037,0.0,3.7974767684936523,4.66264160595745,63.01643753051758,0.6086105108261108,1.0,0.0
LSTM_Only,24,19.98777633666992,19.98777633666992,0.0,3.8915646076202393,4.705090691789984,68.52058410644531,0.6014516353607178,1.0,0.0
LSTM_Only,25,19.647768363952636,19.647768363952636,0.0,3.940204620361328,4.791098630102915,69.09265899658203,0.5867476463317871,1.0,0.0
LSTM_Only,26,20.18843215942383,20.18843215942383,0.0,3.8031182289123535,4.616523811159109,63.8294563293457,0.6163146495819092,1.0,0.0
LSTM_Only,27,19.78587947845459,19.78587947845459,0.0,4.0780229568481445,4.9105808071474994,71.6332015991211,0.5658789873123169,1.0,0.0
LSTM_Only,28,19.49089916229248,19.49089916229248,0.0,3.828677177429199,4.614098562893483,65.95763397216797,0.6167176961898804,1.0,0.0
LSTM_Only,29,19.32415901184082,19.32415901184082,0.0,3.7608792781829834,4.584081738953211,62.027923583984375,0.6216883063316345,1.0,0.0
LSTM_Only,30,20.047276649475098,20.047276649475098,0.0,3.552391529083252,4.439896057561835,50.76041793823242,0.6451125144958496,1.0,0.0
LSTM_Only,31,19.317075691223145,19.317075691223145,0.0,3.9352288246154785,4.853815265209851,62.28190612792969,0.5758577585220337,1.0,0.0
LSTM_Only,32,18.49350826263428,18.49350826263428,0.0,3.9060966968536377,4.765072449716772,64.27294158935547,0.5912252068519592,1.0,0.0
LSTM_Only,33,17.057533035278322,17.057533035278322,0.0,3.9121463298797607,4.748677119704711,65.67168426513672,0.5940333604812622,1.0,0.0
LSTM_Only,34,17.33916213989258,17.33916213989258,0.0,3.8859825134277344,4.73967926710803,62.13010025024414,0.5955703258514404,1.0,0.0
LSTM_Only,35,17.425873260498047,17.425873260498047,0.0,3.5430891513824463,4.578073755179282,45.948429107666016,0.6226792335510254,1.0,0.0
LSTM_Only,36,17.935833015441894,17.935833015441894,0.0,3.708697557449341,4.615634198654193,56.17314529418945,0.6164624691009521,1.0,0.0
LSTM_Only,37,16.24339050292969,16.24339050292969,0.0,3.6044602394104004,4.499301220362737,54.77901840209961,0.6355522871017456,1.0,0.0
LSTM_Only,38,16.43245330810547,16.43245330810547,0.0,3.817115306854248,4.799811939688062,54.823638916015625,0.5852432250976562,1.0,0.0
LSTM_Only,39,16.27642639160156,16.27642639160156,0.0,3.589520215988159,4.585801702565106,48.314266204833984,0.6214044094085693,1.0,0.0
LSTM_Only,40,15.702495079040528,15.702495079040528,0.0,3.7098119258880615,4.650289317328899,54.964698791503906,0.6106815338134766,1.0,0.0
LSTM_Only,41,17.127580528259276,17.127580528259276,0.0,3.633631944656372,4.5374824544604175,52.81067657470703,0.629340648651123,1.0,0.0
LSTM_Only,42,15.4611665725708,15.4611665725708,0.0,3.388324737548828,4.304941824100149,47.60319519042969,0.6663588285446167,1.0,0.0
LSTM_Only,43,14.899433345794678,14.899433345794678,0.0,3.8310766220092773,4.829135233546668,56.04771423339844,0.5801600217819214,1.0,0.0
LSTM_Only,44,14.676676082611085,14.676676082611085,0.0,4.125427722930908,5.123206033972118,62.166656494140625,0.5274707078933716,1.0,0.0
LSTM_Only,45,15.08621467590332,15.08621467590332,0.0,3.589482545852661,4.558925953244686,48.16440200805664,0.6258289813995361,1.0,0.0
LSTM_Only,46,15.156902294158936,15.156902294158936,0.0,3.578603982925415,4.562035941992912,51.41309356689453,0.6253182888031006,1.0,0.0
LSTM_Only,47,14.613995876312256,14.613995876312256,0.0,3.6875319480895996,4.708575059655227,50.69265365600586,0.6008610725402832,1.0,0.0
LSTM_Only,48,14.158158893585204,14.158158893585204,0.0,3.8733818531036377,4.86719455381712,57.231754302978516,0.5735162496566772,1.0,0.0
LSTM_Only,49,14.733753871917724,14.733753871917724,0.0,3.885175943374634,4.931133366548356,55.635215759277344,0.5622375011444092,1.0,0.0
LSTM_Only,50,14.490104560852052,14.490104560852052,0.0,3.5454165935516357,4.537679386008346,50.65542984008789,0.6293084621429443,1.0,0.0
LSTM_Only,51,13.082313537597656,13.082313537597656,0.0,3.915724754333496,4.913447452256803,56.290672302246094,0.5653719902038574,1.0,0.0
LSTM_Only,52,12.611614532470703,12.611614532470703,0.0,3.7389447689056396,4.771912476318129,50.70933151245117,0.5900508165359497,1.0,0.0
LSTM_Only,53,12.966886749267578,12.966886749267578,0.0,3.803583860397339,4.82946837664617,53.815643310546875,0.5801020860671997,1.0,0.0
LSTM_Only,54,12.496176261901855,12.496176261901855,0.0,3.842395782470703,4.885813530891512,54.71944808959961,0.5702470541000366,1.0,0.0
LSTM_Only,55,11.96331859588623,11.96331859588623,0.0,3.9203805923461914,4.943886212233914,55.30619812011719,0.5599702596664429,1.0,0.0
LSTM_Only,56,12.911639366149902,12.911639366149902,0.0,3.9491257667541504,4.958349318705631,55.75281524658203,0.5573919415473938,1.0,0.0
LSTM_Only,57,11.973825340270997,11.973825340270997,0.0,3.6344306468963623,4.580341935032939,51.491947174072266,0.6223053336143494,1.0,0.0
LSTM_Only,58,11.980990676879882,11.980990676879882,0.0,3.968234062194824,5.041504450098336,53.98158264160156,0.5424216985702515,1.0,0.0
LSTM_Only,59,11.774080429077149,11.774080429077149,0.0,4.019153118133545,5.097790011116241,56.689910888671875,0.5321475267410278,1.0,0.0
LSTM_Only,60,12.134161911010743,12.134161911010743,0.0,3.9290289878845215,4.9698797896831834,53.78636169433594,0.5553309917449951,1.0,0.0
LSTM_Only,61,11.288921489715577,11.288921489715577,0.0,4.294986248016357,5.4108385668001295,63.53370666503906,0.47292280197143555,1.0,0.0
LSTM_Only,62,12.055376014709474,12.055376014709474,0.0,4.14910888671875,5.2079011458055176,60.53911590576172,0.5117181539535522,1.0,0.0
LSTM_Only,63,11.329970264434815,11.329970264434815,0.0,3.8507208824157715,4.9056314455073355,56.42581558227539,0.566753625869751,1.0,0.0
LSTM_Only,64,11.14516628265381,11.14516628265381,0.0,3.9839086532592773,5.092185312547475,55.932308197021484,0.5331757068634033,1.0,0.0
LSTM_Only,65,10.712480907440186,10.712480907440186,0.0,4.02243185043335,5.060633939452707,61.021690368652344,0.5389426946640015,1.0,0.0
LSTM_Only,66,10.890377502441407,10.890377502441407,0.0,3.9718244075775146,5.081220510850008,58.92352294921875,0.5351839065551758,1.0,0.0
LSTM_Only,67,10.151040830612182,10.151040830612182,0.0,4.050720691680908,5.178617479091401,58.731468200683594,0.5171939134597778,1.0,0.0
LSTM_Only,68,10.978785457611083,10.978785457611083,0.0,4.110424518585205,5.182281627038275,59.63371276855469,0.5165104866027832,1.0,0.0
LSTM_Only,69,10.293710842132569,10.293710842132569,0.0,3.7908449172973633,4.829300326894039,53.4759635925293,0.5801312923431396,1.0,0.0
LSTM_Only,70,10.194662437438964,10.194662437438964,0.0,3.957170248031616,5.0227826820370876,56.698543548583984,0.5458139181137085,1.0,0.0
LSTM_Only,71,10.170114994049072,10.170114994049072,0.0,4.120163917541504,5.2467566871594995,61.93240737915039,0.5044049620628357,1.0,0.0
LSTM_Only,72,10.337069911956787,10.337069911956787,0.0,4.174088001251221,5.315449692371184,62.16199493408203,0.4913429021835327,1.0,0.0
LSTM_Only,73,9.461752834320068,9.461752834320068,0.0,4.185079097747803,5.322960641260024,60.790000915527344,0.48990440368652344,1.0,0.0
LSTM_Only,74,9.719260215759277,9.719260215759277,0.0,4.257592678070068,5.377680797508131,62.34298324584961,0.4793629050254822,1.0,0.0
LSTM_Only,75,9.11555820465088,9.11555820465088,0.0,4.387470722198486,5.524271900653392,62.276329040527344,0.4505917429924011,1.0,0.0
LSTM_Only,76,8.929538440704345,8.929538440704345,0.0,4.195122241973877,5.31010095618878,60.47383117675781,0.49236607551574707,1.0,0.0
LSTM_Only,77,9.455122966766357,9.455122966766357,0.0,4.424261093139648,5.564215749094011,62.06478500366211,0.44261789321899414,1.0,0.0
