model,training_time_seconds,accuracy,precision,recall,f1,roc_auc,pr_auc
Extra_Trees,0.1470961570739746,0.9736842105263158,1.0,0.9285714285714286,0.9629629629629629,0.9986772486772487,0.9977701354007972
Random_Forest,0.17836213111877441,0.9649122807017544,0.975,0.9285714285714286,0.9512195121951219,0.9986772486772487,0.9977701354007975
Logistic_Regression,0.004956722259521484,0.9824561403508771,0.9761904761904762,0.9761904761904762,0.9761904761904762,0.996031746031746,0.9944915072947418
SVM_RBF,0.004007101058959961,0.9736842105263158,0.975609756097561,0.9523809523809523,0.963855421686747,0.9937169312169312,0.9922902494331066
MLP,0.021710872650146484,0.9210526315789473,0.9714285714285714,0.8095238095238095,0.8831168831168831,0.992063492063492,0.9863320849343962
Gradient_Boosting,0.2503962516784668,0.9649122807017544,1.0,0.9047619047619048,0.95,0.9907407407407408,0.9874171162717962
