fpr,tpr
0.0,0.0
0.0,0.00980392156862745
0.0,0.24509803921568626
0.012195121951219513,0.24509803921568626
0.012195121951219513,0.39215686274509803
0.024390243902439025,0.39215686274509803
0.024390243902439025,0.6274509803921569
0.036585365853658534,0.6274509803921569
0.036585365853658534,0.6764705882352942
0.04878048780487805,0.6764705882352942
0.04878048780487805,0.6862745098039216
0.06097560975609756,0.6862745098039216
0.06097560975609756,0.7450980392156863
0.10975609756097561,0.7450980392156863
0.10975609756097561,0.7647058823529411
0.12195121951219512,0.7647058823529411
0.12195121951219512,0.803921568627451
0.13414634146341464,0.803921568627451
0.13414634146341464,0.8529411764705882
0.14634146341463414,0.8529411764705882
0.14634146341463414,0.8627450980392157
0.15853658536585366,0.8627450980392157
0.15853658536585366,0.9019607843137255
0.2073170731707317,0.9019607843137255
0.2073170731707317,0.9215686274509803
0.23170731707317074,0.9215686274509803
0.23170731707317074,0.9313725490196079
0.24390243902439024,0.9313725490196079
0.24390243902439024,0.9411764705882353
0.2926829268292683,0.9411764705882353
0.2926829268292683,0.9509803921568627
0.34146341463414637,0.9509803921568627
0.34146341463414637,0.9705882352941176
0.35365853658536583,0.9705882352941176
0.35365853658536583,0.9803921568627451
0.4878048780487805,0.9803921568627451
0.4878048780487805,0.9901960784313726
0.6341463414634146,0.9901960784313726
0.6341463414634146,1.0
1.0,1.0
