precision,recall
0.3684210526315789,1.0
0.37168141592920356,1.0
0.375,1.0
0.3783783783783784,1.0
0.38181818181818183,1.0
0.3853211009174312,1.0
0.3888888888888889,1.0
0.3925233644859813,1.0
0.39622641509433965,1.0
0.4,1.0
0.40384615384615385,1.0
0.4077669902912621,1.0
0.4117647058823529,1.0
0.4158415841584158,1.0
0.42,1.0
0.42424242424242425,1.0
0.42857142857142855,1.0
0.4329896907216495,1.0
0.4375,1.0
0.4421052631578947,1.0
0.44680851063829785,1.0
0.45161290322580644,1.0
0.45652173913043476,1.0
0.46153846153846156,1.0
0.4666666666666667,1.0
0.47191011235955055,1.0
0.4772727272727273,1.0
0.4827586206896552,1.0
0.4883720930232558,1.0
0.49411764705882355,1.0
0.5,1.0
0.5060240963855421,1.0
0.5121951219512195,1.0
0.5185185185185185,1.0
0.525,1.0
0.5316455696202531,1.0
0.5384615384615384,1.0
0.5454545454545454,1.0
0.5526315789473685,1.0
0.56,1.0
0.5675675675675675,1.0
0.5753424657534246,1.0
0.5833333333333334,1.0
0.5915492957746479,1.0
0.6,1.0
0.6086956521739131,1.0
0.6176470588235294,1.0
0.6268656716417911,1.0
0.6363636363636364,1.0
0.6461538461538462,1.0
0.65625,1.0
0.6666666666666666,1.0
0.6774193548387096,1.0
0.6885245901639344,1.0
0.7,1.0
0.711864406779661,1.0
0.7241379310344828,1.0
0.7368421052631579,1.0
0.75,1.0
0.7636363636363637,1.0
0.7777777777777778,1.0
0.7924528301886793,1.0
0.8076923076923077,1.0
0.8235294117647058,1.0
0.84,1.0
0.8367346938775511,0.9761904761904762
0.8541666666666666,0.9761904761904762
0.8723404255319149,0.9761904761904762
0.8913043478260869,0.9761904761904762
0.9111111111111111,0.9761904761904762
0.9318181818181818,0.9761904761904762
0.9534883720930233,0.9761904761904762
0.9761904761904762,0.9761904761904762
1.0,0.9761904761904762
1.0,0.9523809523809523
1.0,0.9285714285714286
1.0,0.9047619047619048
1.0,0.8809523809523809
1.0,0.8571428571428571
1.0,0.8333333333333334
1.0,0.8095238095238095
1.0,0.7857142857142857
1.0,0.7619047619047619
1.0,0.7380952380952381
1.0,0.7142857142857143
1.0,0.6904761904761905
1.0,0.6666666666666666
1.0,0.6428571428571429
1.0,0.6190476190476191
1.0,0.5952380952380952
1.0,0.5714285714285714
1.0,0.5476190476190477
1.0,0.5238095238095238
1.0,0.5
1.0,0.47619047619047616
1.0,0.4523809523809524
1.0,0.42857142857142855
1.0,0.40476190476190477
1.0,0.38095238095238093
1.0,0.35714285714285715
1.0,0.3333333333333333
1.0,0.30952380952380953
1.0,0.2857142857142857
1.0,0.2619047619047619
1.0,0.23809523809523808
1.0,0.21428571428571427
1.0,0.19047619047619047
1.0,0.16666666666666666
1.0,0.14285714285714285
1.0,0.11904761904761904
1.0,0.09523809523809523
1.0,0.07142857142857142
1.0,0.047619047619047616
1.0,0.023809523809523808
1.0,0.0
