lag_steps,autocorrelation
1,0.9973555162769822
2,0.9942806400552946
3,0.9909945046874618
4,0.9875056040470177
5,0.9838004040945705
6,0.9798841005321728
7,0.9757710800892642
8,0.9714630830901111
9,0.9669686553537759
10,0.9622982043571133
11,0.957463203836589
12,0.9524751456371296
13,0.9473432312039649
14,0.9420716685535093
15,0.9366676449221597
16,0.9311413217137832
17,0.9254983834276572
18,0.919754181544126
19,0.9139179143518869
20,0.9079923047993369
21,0.9019920792283764
22,0.8959254458848047
23,0.8898002199873611
24,0.88362656151912
25,0.8774193282465679
26,0.8711803664521127
27,0.8649166764266749
28,0.8586389985218008
29,0.852353911053211
30,0.8460633679661943
31,0.8397692377652547
32,0.8334690122066795
33,0.8271654678768192
34,0.820864750815705
35,0.8145804446482814
36,0.8083228128286976
37,0.8020900192507002
38,0.7958758684012069
39,0.7897035612018355
40,0.7835711877174741
41,0.7774856443565429
42,0.7714642264181969
43,0.7655073027702428
44,0.7596100863901871
45,0.7537773539012791
46,0.7480095450836797
47,0.7423018477297005
48,0.7366597446439926
49,0.7310969571973657
50,0.7256163448452589
51,0.7202246345450999
52,0.7149154489904587
53,0.7096957841874537
54,0.7045813941450002
55,0.6995620158610966
56,0.6946547311542322
57,0.6898662465711017
58,0.6851960996119221
59,0.6806447679750262
60,0.6762321398334438
61,0.6719550575695047
62,0.6678163936926176
63,0.6638279060224652
64,0.6599771935295722
65,0.6562475637323724
66,0.652664521270525
67,0.6492240609945945
68,0.6459350767091637
69,0.642796363576546
70,0.6398048064405037
71,0.6369608965263621
72,0.6342718351228975
73,0.6317288297601118
74,0.6293266062582613
75,0.6270852239644442
76,0.6250077071804794
77,0.623089909014282
78,0.6213303700157361
79,0.6197243843464596
80,0.6182677369085074
81,0.6169629323643864
82,0.6158098559287893
83,0.6147921339341524
84,0.6139074301379529
85,0.6131307008963983
86,0.6124722124121483
87,0.6119342721993146
88,0.6115210553325169
89,0.6112207318262665
90,0.6110270252443868
91,0.6109288516518727
92,0.6109185171866802
93,0.6110072064219938
94,0.6111821318513815
95,0.6114381519171677
96,0.6117710872814468
97,0.6121798544054317
98,0.6126476975010171
99,0.6131739549396308
100,0.6137604134030674
101,0.6143861315583553
102,0.6150587774531628
103,0.6157841101890534
104,0.616552186580688
105,0.6173526285676312
106,0.618191276024729
107,0.6190526279857645
108,0.6199341540227085
109,0.6208281035042513
110,0.6217364123384966
111,0.6226605515973198
112,0.6235934701590791
