model,training_time_seconds,validation_MAE,validation_RMSE,validation_MAPE,validation_SMAPE,validation_R2,test_MAE,test_RMSE,test_MAPE,test_SMAPE,test_R2
Extra_Trees,0.7201251983642578,4.027726116278132,4.952726986041268,51.47183232177114,63.48544284004271,0.5583951471675843,3.7503433813217972,4.494946483150325,108.97893793383506,74.64315264455841,0.6445284431847919
Random_Forest,4.897583723068237,3.986029871566589,4.903399843274327,50.46521187999793,62.79257975302372,0.5671477516439252,3.708732131845222,4.541907275847086,103.64602936425533,71.89183962372896,0.6370620908740339
Gradient_Boosting,18.606189966201782,4.204024290518173,5.077169152678982,59.86621902359115,68.78021664707633,0.5359248373839423,3.801694700656074,4.581410663532834,103.20084571634544,73.87498022684815,0.6307213069152349
MLP_Regressor,0.4699208736419678,4.30862215219236,5.247867064273696,67.54479993790483,60.93848417930848,0.5041952188043703,4.104828630094474,5.108968635959039,108.94327922868582,67.32314973883308,0.5407784305022078
Ridge,0.013984918594360352,4.420459781823459,5.5017380910425775,74.9372037496539,62.52220251806786,0.4550647721997403,4.18671622491098,5.201893214835794,120.30381746969556,72.12856864210572,0.5239213882611411
ElasticNet,0.747664213180542,4.443898913267024,5.527462298313181,76.75920902578551,63.675053281768115,0.44995700508434877,4.21064175776635,5.2396247865602295,121.51476492614779,72.02616334958627,0.516989934295131
Linear_Regression,0.0554962158203125,5.455826888119767,6.80607430184975,99.32357917621499,76.02747157060017,0.16605303596917098,4.885063402617283,5.961445755405898,150.9115750029078,80.23695163262502,0.37474237222477824
Persistence_Previous_Day_Temperature,0.0,4.971626695736434,6.172300650681025,83.734756846675,60.39340250705768,0.3141341103418449,5.511934717817712,6.574842642101655,186.4959909256364,79.07293599774364,0.23945216955775606
